0	var	1
25	x0	1
19	,	1
25	y0	1
19	,	1
25	x	1
19	,	1
25	y	1
19	,	1
25	g	1
19	,	1
25	m	1
19	,	1
25	temp	1
20	;	1
2	read	3
21	(	3
25	x	3
22	)	3
20	;	3
2	read	4
21	(	4
25	y	4
22	)	4
20	;	4
25	x0	5
16	:=	5
25	x	5
20	;	5
25	y0	6
16	:=	6
25	y	6
20	;	6
25	x	7
16	:=	7
25	x	7
12	-	7
25	x	7
14	/	7
25	y	7
13	*	7
25	y	7
20	;	7
8	while	9
15	~	9
21	(	9
25	x	9
18	=	9
26	0	9
22	)	9
9	do	9
25	temp	10
16	:=	10
25	x	10
20	;	10
25	x	11
16	:=	11
25	y	11
20	;	11
25	y	12
16	:=	12
25	temp	12
20	;	12
25	x	13
16	:=	13
25	x	13
12	-	13
25	x	13
14	/	13
25	y	13
13	*	13
25	y	13
10	od	14
20	;	14
25	g	15
16	:=	15
25	y	15
20	;	15
25	m	16
16	:=	16
25	x0	16
13	*	16
25	y0	16
14	/	16
25	g	16
20	;	16
3	write	17
21	(	17
25	g	17
22	)	17
20	;	17
3	write	18
21	(	18
25	m	18
22	)	18
