0	var	1
25	m	1
19	,	1
25	n	1
19	,	1
25	i	1
19	,	1
25	f	1
20	;	1
2	read	3
21	(	3
25	m	3
22	)	3
20	;	3
4	if	4
21	(	4
25	m	4
17	<	4
26	1	4
22	)	4
11	+	4
21	(	4
25	m	4
18	=	4
26	1	4
22	)	4
5	then	4
25	f	5
16	:=	5
26	0	5
6	else	6
25	f	7
16	:=	7
26	1	7
20	;	7
4	if	8
25	m	8
18	=	8
26	2	8
5	then	8
1	skip	9
6	else	10
25	i	11
16	:=	11
26	2	11
20	;	11
8	while	12
25	i	12
17	<	12
25	m	12
9	do	12
4	if	13
21	(	13
25	m	13
12	-	13
25	m	13
14	/	13
25	i	13
13	*	13
25	i	13
22	)	13
18	=	13
26	0	13
5	then	13
25	f	14
16	:=	14
26	0	14
6	else	15
1	skip	16
7	fi	17
20	;	17
25	i	18
16	:=	18
25	i	18
11	+	18
26	1	18
10	od	19
7	fi	20
7	fi	21
20	;	21
3	write	22
21	(	22
25	f	22
22	)	22
