0	var	1
25	head	1
19	,	1
25	foot	1
19	,	1
25	cock	1
19	,	1
25	rabbit	1
19	,	1
25	n	1
20	;	1
25	n	3
16	:=	3
26	0	3
20	;	3
2	read	4
21	(	4
25	head	4
22	)	4
20	;	4
2	read	5
21	(	5
25	foot	5
22	)	5
20	;	5
25	cock	6
16	:=	6
26	1	6
20	;	6
8	while	7
21	(	7
25	cock	7
17	<	7
25	head	7
22	)	7
11	+	7
21	(	7
25	cock	7
18	=	7
25	head	7
22	)	7
9	do	7
25	rabbit	8
16	:=	8
25	head	8
12	-	8
25	cock	8
20	;	8
4	if	9
21	(	9
25	cock	9
13	*	9
26	2	9
11	+	9
25	rabbit	9
13	*	9
26	4	9
22	)	9
18	=	9
25	foot	9
5	then	9
3	write	10
21	(	10
25	cock	10
22	)	10
20	;	10
3	write	11
21	(	11
25	rabbit	11
22	)	11
20	;	11
25	n	12
16	:=	12
25	n	12
11	+	12
26	1	12
6	else	13
1	skip	14
7	fi	15
20	;	15
25	cock	16
16	:=	16
25	cock	16
11	+	16
26	1	16
10	od	17
20	;	17
4	if	18
25	n	18
18	=	18
26	0	18
5	then	18
3	write	18
21	(	18
26	0	18
22	)	18
6	else	18
1	skip	18
7	fi	18
